Datum	05.11.10	
Uhrzeit	12:48:26	
Probenkennz.	HDPE	
Probenhšhe a0	4	mm
Probenbreite b0	10,1	mm
LŠnge l0	70	mm
Probenhšhe aU NACH dem Versuch	1	mm
Probenbreite bU NACH dem Versuch	4,5	mm
LŠnge lU NACH dem Versuch	99,6	mm
Geschwindigkeit	20	mm/min
Kraftmaximum	1281,42	N
Standardweg	Standardkraft	
mm	N	
11,7666	1274,3	
11,78	1274,4	
11,7933	1274,53	
11,8066	1274,76	
11,82	1274,93	
11,8333	1274,99	
11,8466	1275,03	
11,86	1275,09	
11,8734	1275,16	
11,8867	1275,29	
11,9	1275,42	
11,9134	1275,49	
11,9267	1275,59	
11,9399	1275,72	
11,9533	1275,79	
11,9667	1275,82	
11,98	1275,92	
11,9934	1275,92	
12,0067	1275,98	
12,0266	1276,21	
12,0399	1276,31	
12,0533	1276,35	
12,0667	1276,41	
12,08	1276,44	
12,0934	1276,51	
12,1067	1276,58	
12,12	1276,68	
12,1333	1276,68	
12,1467	1276,74	
12,16	1276,91	
12,1734	1276,97	
12,1867	1276,97	
12,2	1277	
12,2133	1277	
12,2266	1277,07	
12,2466	1277,24	
12,26	1277,24	
12,2733	1277,33	
12,2867	1277,47	
12,3	1277,63	
12,3133	1277,66	
12,3267	1277,66	
12,34	1277,73	
12,3533	1277,83	
12,3667	1277,89	
12,38	1277,93	
12,3934	1277,93	
12,4066	1277,99	
12,42	1278,09	
12,4333	1278,19	
12,4467	1278,32	
12,46	1278,36	
12,4733	1278,45	
12,4867	1278,52	
12,5	1278,45	
12,5133	1278,49	
12,5267	1278,52	
12,54	1278,59	
12,5542	1278,62	
12,5734	1278,75	
12,5867	1278,78	
12,6	1278,82	
12,6133	1278,92	
12,6267	1279,05	
12,64	1279,02	
12,6533	1279,05	
12,6666	1279,05	
12,68	1279,05	
12,6933	1279,18	
12,7066	1279,18	
12,72	1279,15	
12,7334	1279,21	
12,7534	1279,34	
12,7667	1279,44	
12,78	1279,38	
12,7933	1279,41	
12,8066	1279,51	
12,82	1279,61	
12,8334	1279,64	
12,8467	1279,67	
12,86	1279,71	
12,8733	1279,77	
12,8866	1279,77	
12,9	1279,84	
12,9133	1279,84	
12,9267	1279,94	
12,94	1279,94	
12,9534	1279,97	
12,9667	1280,07	
12,98	1280,1	
12,9933	1280,14	
13,0066	1280,14	
13,02	1280,14	
13,0334	1280,1	
13,0467	1280,14	
13,06	1280,14	
13,0733	1280,2	
13,0866	1280,2	
13,1	1280,27	
13,1133	1280,3	
13,1267	1280,3	
13,14	1280,3	
13,1534	1280,43	
13,1667	1280,43	
13,18	1280,5	
13,1934	1280,53	
13,2067	1280,56	
