Probenkennz.	ALMg3	
Datum	21.11.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	2590,2	N
Probenhoehe a0	0,99	mm
Probenbreite b0	13,01	mm
Laege l0	70	mm
Probenhe aU NACH ZUGVERSUCH	0,78	mm
Probenbreite bU NACH ZUGVERSUCH	11,41	mm
Laege lU NACH ZUGVERSUCH	79,1	mm
Standardweg	Standardkraft	
mm	N	
4,44204866	2470,992	
4,45121362	2475,16	
4,46033742	2479,96	
4,46949552	2482,68	
4,47865362	2483,76	
4,48778428	2483,864	
4,49697668	2482,52	
4,50610048	2482,176	
4,51523114	2482,888	
4,52435494	2483,576	
4,53351304	2484,6	
4,54270544	2489,872	
4,5518361	2493,464	
4,5609599	2492,672	
4,57009056	2490,928	
4,57924866	2490,112	
4,58837246	2489,824	
4,59812052	2491,664	
4,60669552	2495,256	
4,61585362	2494,568	
4,62501172	2494,912	
4,63416982	2494,808	
4,64326618	2488,952	
4,65239684	2485,976	
4,66155494	2487,104	
4,67067874	2494,912	
4,67990544	2502,056	
4,68902924	2492,856	
4,6981942	2491,696	
4,7119142	2493,224	
4,72101056	2492,592	
4,73016866	2500,552	
4,73932676	2499	
4,74848486	2502,056	
4,75764982	2495,44	
4,76673932	2496,096	
4,77590428	2502,976	
4,78502808	2498,68	
4,79874808	2499,08	
4,80794048	2501,472	
4,81709858	2502,744	
4,82626354	2499,312	
4,83538734	2499,792	
4,8444837	2502,896	
4,8536418	2502,744	
4,8627999	2503,08	
4,8725754	2505,536	
4,88112296	2502,928	
4,89028106	2500,024	
4,89940486	2503,848	
4,90853552	2504,432	
4,91765932	2508,752	
4,92678998	2507,96	
4,93598238	2503,72	
4,94514048	2504,272	
4,95429858	2498,176	
4,96401234	2497,864	
4,97255304	2495,752	
4,9816837	2493,616	
4,9908761	2495,888	
4,9999999	2499,08	
5,0091923	2498,024	
5,0183161	2496,464	
5,02744676	2497,28	
5,03657056	2498,52	
5,04572866	2496,072	
5,05544242	2496,304	
5,06401742	2494,672	
5,07317552	2492,672	
5,08236792	2494,776	
5,09149858	2506,12	
5,10062238	2501,344	
5,10971874	2489,952	
5,11891114	2488,608	
5,12806924	2490,008	
5,1371999	2491,456	
5,14638544	2493,272	
5,1555161	2500,16	
5,1646399	2508,096	
5,17377056	2523,544	
5,18292866	2530,848	
5,19208676	2512,736	
5,20121742	2496,76	
5,21040982	2499,6	
5,21953362	2516,16	
5,22924052	2527,496	
5,23778808	2525,6	
5,24694618	2520,672	
5,25610428	2513,416	
5,26526924	2509,04	
5,27442734	2510,44	
5,28358544	2511,024	
5,2926818	2511,128	
5,3018399	2510,232	
5,31097056	2511,6	
5,32071176	2515,424	
5,32932106	2522,704	
5,33844486	2526,656	
5,34760296	2526,496	
5,35673362	2534,04	
5,36582312	2529,264	
5,37501552	2525,072	
5,38418048	2529,16	
5,39333858	2543,584	
5,40249668	2539,6	
5,41220358	2537,048	
5,42075114	2535,568	
5,42987494	2535,176	
5,4390056	2531,088	
5,4481637	2533,224	
5,4573561	2530,64	
5,4665142	2541,656	
5,47564486	2544,744	
5,48476866	2548,696	
5,49389932	2529,768	
5,50305742	2515,928	
5,51681172	2503,16	
5,52596982	2494,432	
5,53510048	2499,84	
5,54422428	2516,976	
5,55338238	2528,976	
5,56251304	2532,96	
5,57170544	2542,424	
5,58141234	2534,752	
5,58998734	2544,664	
5,5991523	2545,96	
5,6082761	2555,104	
5,61740676	2536,176	
5,62653056	2522,304	
5,63568866	2516,344	
5,64484676	2509,624	
5,65401172	2511,864	
5,66371862	2514,712	
5,67688982	2516,584	
5,68602048	2512,312	
5,69514428	2515,952	
5,70427494	2518,776	
5,71343304	2513,84	
5,72262544	2518,192	
5,73174924	2519,192	
5,741463	2514,368	
5,7500037	2519,856	
5,7591618	2518,984	
5,76832676	2517,376	
5,77748486	2522,304	
5,78660866	2518,192	
5,79576676	2519,8	
5,80493172	2526,128	
5,81405552	2522,568	
5,82318618	2531,432	
5,83289308	2530,976	
5,84150238	2526,896	
5,85062618	2525,552	
5,85981858	2526,92	
5,8689904	2524,728	
5,8780456	2529,296	
5,8871694	2528,392	
5,8963618	2527,976	
5,9055542	2533,96	
5,914678	2528,952	
5,9244192	2532,696	
5,9329942	2536,856	
5,942118	2533,408	
5,9512418	2539,632	
5,9604342	2538,76	
5,969558	2534,8	
5,9786818	2529,792	
5,9878742	2534,248	
5,996998	2529,872	
6,0061218	2536,28	
6,015863	2537,968	
6,024438	2536,384	
6,0335618	2542,448	
6,0427542	2536,096	
6,051878	2537,464	
6,0610018	2538,52	
6,0701256	2531,824	
6,079318	2538,76	
6,0884418	2537,624	
6,0976342	2540,024	
6,1073068	2534,008	
6,1158818	2535,224	
6,1250742	2535,568	
6,134198	2547,168	
6,1433218	2540,896	
6,1524456	2539,392	
6,161638	2528,872	
6,1707618	2538,656	
6,1799542	2530,4	
6,189078	2534,2	
6,1987506	2526,208	
6,2073256	2528,872	
6,216518	2537,864	
6,2256418	2549,328	
6,2348342	2553,784	
6,2440266	2554,608	
6,2530818	2540,896	
6,2622742	2536,672	
6,271398	2537,464	
6,2805218	2549,04	
6,290263	2543,448	
6,298838	2535,064	
6,3080304	2533,088	
6,3171542	2540,576	
6,326278	2550,44	
6,3354018	2554,368	
6,3445256	2545,8	
6,353718	2549,28	
6,3628418	2541,368	
6,3720342	2541,792	
6,3817068	2530,48	
6,3902818	2529,424	
6,3994056	2531,8	
6,408598	2532,088	
6,4177218	2537,36	
6,4269142	2532,064	
6,436038	2540,76	
6,4451618	2537,6	
6,4543542	2539,336	
6,463478	2542,424	
6,4731506	2536,336	
6,4863218	2538,176	
6,4955142	2545,8	
6,504638	2539,784	
6,5138304	2547,224	
6,5229542	2544,504	
6,532078	2545,376	
6,5412018	2549,016	
6,5503942	2544,536	
6,559518	2553,944	
6,5687104	2547,088	
6,5823618	2549,408	
6,5915542	2556,848	
6,6006094	2549,2	
6,6098018	2559,584	
6,6189256	2552,52	
6,628118	2558,296	
6,6373104	2554,608	
6,6464342	2554,944	
6,655558	2556,448	
6,6692094	2553,392	
6,6784018	2559,32	
6,6875942	2545,904	
6,6967866	2542,24	
6,7059104	2537,384	
6,7150342	2538,048	
6,7240894	2540,976	
6,7332818	2534,832	
6,7424056	2540,416	
6,751598	2539,024	
6,765318	2539,048	
6,7745104	2539,784	
6,7836342	2546,088	
6,7926894	2540,232	
6,8018818	2548,064	
6,8110742	2544,16	
6,820198	2544,424	
6,8293904	2549,304	
6,839063	2539,944	
6,847638	2542,448	
6,8567618	2543,424	
6,8659542	2556,24	
6,875078	2561,568	
6,8842018	2556,448	
6,8933256	2551,76	
6,902518	2547,376	
6,9116418	2547,488	
6,9213144	2541,952	
6,929958	2544,216	
6,9390818	2542,504	
6,9482056	2547,04	
6,957398	2545,088	
6,9665218	2544,424	
6,9757142	2548,248	
6,984838	2540,944	
6,9939618	2546,592	
7,0031542	2542,528	
7,0128954	2541,792	
7,0214018	2546,512	
7,0305942	2540,416	
7,039718	2548,408	
7,0488418	2541,792	
7,0579656	2545,376	
7,067158	2545,96	
7,0762818	2543,632	
7,0854742	2550,336	
7,094598	2542,712	
7,1043392	2550,072	
7,1128456	2544,24	
7,1219694	2546,144	
7,1312304	2545,824	
7,1403542	2540,944	
7,149478	2548,328	
7,1586704	2542,08	
7,1677942	2549,912	
7,176918	2552,096	
7,1860418	2549,224	
7,1957144	2544,768	
7,204358	2545,824	
7,2134818	2543,952	
7,2226742	2548,488	
7,231798	2542,24	
7,2409218	2551,36	
7,2501142	2543,824	
7,259238	2551,28	
7,2684304	2545,696	
7,2775542	2547,144	
7,2872268	2548,8	
7,2958018	2542,552	
7,3049256	2549,832	
7,314118	2543,32	
7,3233104	2546,8	
7,3324342	2538,92	
7,341558	2542,896	
7,3506818	2543,848	
7,3598742	2543,664	
7,368998	2547,248	
7,3786706	2542,16	
7,3872456	2540,208	
7,396438	2529,48	
7,4056304	2533,96	
7,4147542	2528,688	
7,423878	2536,704	
7,4330018	2530,528	
7,4421256	2540,792	
7,451318	2533,456	
7,4605104	2540,104	
7,470183	2536,784	
7,4833542	2533,352	
7,492478	2541,976	
7,5016018	2536,36	
7,5107256	2538,944	
7,519918	2538,176	
7,5290418	2533,672	
7,5382342	2539,92	
7,547358	2532,776	
7,5564818	2543,32	
7,5702018	2543,768	
7,5793942	2546,592	
7,588518	2551,44	
7,5977104	2557,688	
7,6068342	2557,688	
7,615958	2561,192	
7,6250818	2555,16	
7,6342742	2562,168	
7,643398	2561,984	
7,657118	2563,856	
7,6663104	2569,632	
7,6754342	2571,976	
7,6844894	2580,256	
7,6936818	2581,104	
7,7028742	2590,2	
7,711998	2575,592	
7,7217392	2559,64	
7,7303142	2536,832	
7,739438	2545,48	
7,7486304	2536,672	
7,7576856	2546,776	
7,7668094	2540,208	
7,7760018	2550,6	
7,7851256	2543,136	
7,794318	2549,728	
7,8035104	2544,72	
7,8126342	2548,488	
7,8262856	2553,392	
7,835478	2546,8	
7,8446018	2556,632	
7,8537942	2551,072	
7,862918	2561,04	
7,8721104	2556,632	
7,8812342	2563,992	
7,890358	2555,392	
7,8994818	2562,672	
7,9086742	2555,528	
7,9223942	2553,312	
7,9315866	2561,592	
7,9407104	2555,08	
7,9497656	2562,648	
7,9588894	2554,816	
7,9680818	2562,648	
7,9772742	2561,088	
7,986398	2564,2	
7,9955218	2556,816	
8,0047142	2553,968	
8,0183656	2563,12	
8,027558	2556,896	
8,0366818	2564,232	
8,0458742	2557,296	
8,054998	2564,832	
8,0641904	2557,768	
8,0733142	2565,232	
8,082438	2559,008	
8,0915618	2566,416	
8,1052818	2563,568	
8,1144742	2563,176	
8,123598	2562,832	
8,1327218	2556,16	
8,1418456	2552,6	
8,151038	2550,04	
8,1602304	2551,52	
8,1693542	2554,184	
8,1790954	2550,624	
8,1876704	2553,864	
8,1967942	2546,96	
8,205918	2552,072	
8,2150418	2546,984	
8,2241656	2552,208	
8,233358	2547,408	
8,2424818	2552,968	
8,2516742	2548,168	
8,260798	2553,232	
8,2704706	2549,144	
8,2790456	2553,392	
8,2881694	2555,08	
8,2973618	2553,336	
8,3065542	2557,792	
8,315678	2552,704	
8,3248704	2556,584	
8,3339942	2553,128	
8,343118	2556,184	
8,3522418	2546,984	
8,361983	2556,344	
8,370558	2548,648	
8,3796818	2556,664	
8,3888742	2549,384	
8,397998	2552,704	
8,4071218	2550,256	
8,4162456	2549,648	
8,425438	2553,104	
8,4345618	2548,544	
8,4437542	2554,896	
8,4534268	2547,144	
8,4620018	2555,576	
8,4711256	2549,096	
8,480318	2557,584	
8,4894418	2550,544	
8,4986342	2558,192	
8,507758	2549,064	
8,5169504	2550,464	
8,5260742	2538,6	
8,535198	2545,056	
8,5448706	2545,616	
8,5534456	2551,992	
8,562638	2543,848	
8,5717618	2549,096	
8,5809542	2543,688	
8,590078	2550,784	
8,5992018	2549,096	
8,6083942	2552,968	
8,617518	2556,792	
8,6267104	2555,208	
8,636383	2559,352	
8,644958	2556,664	
8,6541504	2559,112	
8,6632056	2554,816	
8,672398	2559,664	
8,6815218	2552,92	
8,6906456	2536,568	
8,699838	2522,408	
8,7090304	2517,4	
8,7181542	2524,176	
8,7278268	2519,008	
8,7364018	2525,208	
8,7455942	2519,672	
8,754718	2526,52	
8,7639104	2521,544	
8,7730342	2527,576	
8,782158	2523,704	
8,7912818	2529,216	
8,8004056	2527,024	
8,809598	2530,928	
8,8192706	2532,064	
8,8279142	2530,904	
8,8371066	2535,36	
8,8461618	2531,664	
8,8553542	2535,648	
8,8644094	2531,32	
8,8736018	2534,592	
8,8827256	2531,952	
8,891918	2533,04	
8,9010418	2533,72	
8,910783	2528,656	
8,919358	2531,984	
8,9284818	2529,608	
8,9376742	2526,976	
8,946798	2520,408	
8,9559218	2521,808	
8,9651142	2523,336	
8,974238	2514,896	
8,9834304	2513,08	
8,9924856	2512,968	
9,0022268	2506,304	
9,0108018	2498,416	
9,0199942	2488,952	
9,029118	2483,624	
9,0382418	2471,944	
9,0474342	2461,848	
9,056558	2452,168	
9,0657504	2433,528	
9,0748742	2426,064	
9,083998	2405,208	
9,0937392	2385,648	
9,1023142	2368,168	
9,111438	2344,512	
9,1205618	2318,336	
9,1296856	2290,544	
9,138878	2258,272	
9,1480018	2220,512	
9,1571942	2175,792	
9,166318	2119,368	
