Probenkennz.	Baustahl	
Datum	02.08.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	4251,6396	N
Probenhoehe a0	1	mm
Probenbreite b0	12,96	mm
Laenge l0	70	mm
Probenhoehe a0 NACH ZUGVERSUCH	0,8	mm
Probenbreite b0 NACH ZUGVERSUCH	8,84	mm
Laenge l0 NACH ZUGVERSUCH	85,84	mm
Standardweg	Standardkraft	
mm	N	
3,76061	3809,01672	
3,769955	3810,91392	
3,77986	3813,0192	
3,788617	3814,5492	
3,79799	3816,16488	
3,807307	3817,7316	
3,816617	3819,22488	
3,825934	3820,63248	
3,835279	3822,57864	
3,844624	3824,7084	
3,854004	3826,53216	
3,863321	3828,1356	
3,873226	3830,08176	
3,881948	3831,61176	
3,891258	3833,01936	
3,900638	3834,72072	
3,909955	3836,37312	
3,9193	3838,02552	
3,928645	3839,43312	
3,93799	3841,01208	
3,947335	3842,62776	
3,956617	3844,40256	
3,970624	3847,14432	
3,979969	3848,91912	
3,989279	3850,57152	
3,998659	3852,0648	
4,007976	3853,5948	
4,017286	3855,08808	
4,026631	3856,29984	
4,035948	3857,7564	
4,045258	3859,2864	
4,059293	3861,74664	
4,068673	3863,31336	
4,07799	3864,89232	
4,087265	3866,6304	
4,096617	3868,2828	
4,105927	3870,00864	
4,115272	3871,55088	
4,124624	3872,88504	
4,133997	3874,13352	
4,143314	3875,54112	
4,152624	3876,99768	
4,161941	3878,24616	
4,171286	3879,86184	
4,180631	3881,63664	
4,189976	3883,32576	
4,199293	3885,06384	
4,208638	3886,80192	
4,217955	3888,40536	
4,23192	3890,58408	
4,2413	3891,88152	
4,250645	3893,0076	
4,259962	3894,13368	
4,269307	3895,30872	
4,278624	3896,48376	
4,287969	3897,85464	
4,297279	3899,42136	
4,307219	3901,35528	
4,315941	3903,17904	
4,325321	3904,70904	
4,334666	3906,11664	
4,343948	3907,53648	
4,353293	3908,94408	
4,362603	3910,40064	
4,371955	3911,56344	
4,3813	3912,70176	
4,390645	3913,77888	
4,40055	3914,86824	
4,409307	3916,12896	
4,418617	3917,57328	
4,427962	3919,02984	
4,437314	3920,43744	
4,446659	3922,21224	
4,455969	3923,95032	
4,465314	3925,28448	
4,474631	3926,53296	
4,483941	3927,78144	
4,493258	3928,90752	
4,507293	3930,73128	
4,516638	3932,01648	
4,525955	3933,26496	
4,5353	3934,47672	
4,544645	3935,89656	
4,553962	3937,26744	
4,563237	3938,76072	
4,572617	3940,0092	
4,581962	3941,4168	
4,591314	3942,66528	
4,605314	3944,12184	
4,614631	3945,2112	
4,623941	3946,42296	
4,633286	3947,67144	
4,642631	3948,91992	
4,651948	3950,33976	
4,661328	3951,66168	
4,670673	3952,71432	
4,68055	3954,04848	
4,68923	3955,29696	
4,69861	3956,66784	
4,70799	3957,95304	
4,717335	3959,09136	
4,726617	3960,09504	
4,735997	3960,78048	
4,745279	3961,62504	
4,754589	3963,11832	
4,763969	3964,66056	
4,773881	3966,1416	
4,782631	3967,43904	
4,791976	3968,80992	
4,801321	3969,77688	
4,810638	3970,86624	
4,819948	3971,99232	
4,829265	3973,08168	
4,838645	3974,04864	
4,847955	3975,10128	
4,857895	3976,34976	
4,866617	3977,56152	
4,875962	3978,61416	
4,885279	3979,94832	
4,894624	3981,23352	
4,903969	3982,44528	
4,913279	3983,62032	
4,922631	3984,58728	
